football  /ˈfʊtbɔːl/  Bóng đá 
aerobics  /eəˈrəʊbɪks/  Thể dục nhịp điệu
swimming /ˈswɪmɪŋ/  bơi
biking /ˈbaɪkɪŋ/  đi xe đạp
surfing /ˈsɜːfɪŋ/  luớt sóng
basketball /ˈbɑːskɪtbɔːl/  Bóng rổ
volleyball /ˈvɒlibɔːl/  bóng chuyền
badminton /ˈbædmɪntən/  cầu lông
table tennis /ˈteɪbl tenɪs/  Bóng bàn
athletics /æθˈletɪks/  điền kinh
boxing /ˈbɒksɪŋ/  đấm bốc
climbing /ˈklaɪmɪŋ/  leo núi
horse riding /hɔːs ˈraɪdɪŋ / cưỡi ngựa
horse racing /hɔːs ˈraɪdɪŋ /  đua ngựa
rowing /ˈrəʊɪŋ/  chèo thuyền
shooting /ˈʃuːtɪŋ/  bắn súng
water polo /ˈwɔːtə(r) ˈpəʊləʊ / bóng nước
weightlifting /ˈweɪtlɪftɪŋ/  cử tạ
chess /tʃes/  cờ vua
walking /ˈwɔːkɪŋ/  đi bộ
skateboarding /ˈskeɪtbɔːdɪŋ/  trượt ván
snowboarding /ˈsnəʊbɔːdɪŋ/  trượt tuyết ván
fishing /ˈfɪʃɪŋ/  Câu cá 
golf /ɡɒlf/  gôn
yoga /ˈjəʊɡə/  yoga
