beard 		/bɪəd/ 			râu
mustache	/mʊˈstɑːʃ/ 		ria mép
lip 		/lɪp/ 			môi
tongue 		/tʌŋ/ 			lưỡi
shoulder 	/ˈʃəʊl.dər/ 	bả vai
arm 		/ɑːm/			cánh tay 
elbow 		/ˈel.bəʊ/  		khuỷu tay 
wrist 		/rɪst/ 			cổ tay 
hand 		/hænd/			bàn tay
palm 		/pɑːm/			lòng bàn tay
finger		/ˈfɪŋ.gəʳ/		ngón tay 
fingernail 	/ˈfɪŋɡəneɪl/ 	móng tay
chest 		/tʃest/  		ngực 
navel 		/ˈneɪ.vəl/  	rốn 
waist 		/weɪst/ 		thắt lưng, eo 
leg 		/leg/ 			cái chân
thigh 		/θaɪ/ 			bắp đùi
knee 		/niː/ 			đầu gối 
calf 		/kɑːf/ 			bắp chân
foot 		/fʊt/ 			bàn chân
heel 		/hɪəl/	 		gót chân
toe 		/təʊ/	 		ngón chân
back 		/bæk/ 			lưng 
buttock 	/'bʌtək/ 		mông
intestine 	/ɪnˈtɛstɪn/ 	ruột
