bathtub 		/bɑːθtʌb/			bồn tắm
shower 			/ˈʃaʊə(r)/ 			vòi hoa sen
soap 			/səʊp/ 				xà phòng
sink 			/sɪŋk/ 				bồn rửa mặt
faucet 			/ˈfɔːsɪt/ 			vòi
shampoo 		/ʃæmˈpuː/ 			dầu gội đầu
towel 			/taʊəl/ 			khăn tắm
shower gel      /ˈʃaʊə(r) dʒel/ 	 sữa tắm
shower cap 		/ˈʃaʊə(r)/ 			kæp mũ trùm đầu
toilet brush 	/ˈtɔɪlət brʌʃ/ 		bàn chải vệ sinh bồn cầu
shaving foam 	/ˈʃeɪ.vɪŋ fəʊm/		bọt cạo râu
razor 			/ˈreɪzə(r)/ 		dao cạo râu
mirror 			/ˈmɪrə(r)/ 			tấm gương
comb 			/kəʊm/ 				cây lược
sponge 			/spʌndʒ/ 			miếng bọt biển
shower screen 	/ˈʃaʊə(r) skriːn/ 	tấm che phòng tắm
perfume 		/ˈpɜːfjuːm/ 		nước hoa
toothbrush 		/ˈtuːθbrʌʃ/ 		bàn chải đánh răng
toothpaste 		/ˈtuːθpeɪst/ 		kem đánh răng
tweezers 		/ˈtwiːzəz/ 			nhíp
deodorant 		/diˈəʊdərənt/ 		chất khử mùi
mouthwash 		/ˈmaʊθwɒʃ/ 			nước súc miệng
hairdryer 		/ˈherˌdraɪ.ɚ/ 		máy sấy
toilet paper 	/ˈtɔɪlət ˈpeɪpə(r)/ giấy vệ sinh
toilet 			/ˈtɔɪlət/ 			nhà vệ sinh
